Math Item #,Math,Marine,Marine Item #,Explanation,Lecture #,Exam,Date,# Math Items,# New Math Items,# Marine Items,# New Marine Items,,,,,,,,,,,,,,,,,,
1,decision tree,dichotomous key,1,"species identification, flow charts",1,1,9/1/2017,5,5,3,3,,,,,,,,,,,,,,,,,,
2,statistical power,experimental design,2,replicates,,,,,,,,,,,,,,,,,,,,,,,,,
3,slope,performance curves,3,negative slope beyond optimum - pejus range,,,,,,,,,,,,,,,,,,,,,,,,,
4,max/min,performance curves,3,"thermal tolerance, optium performance",,,,,,,,,,,,,,,,,,,,,,,,,
5,limits,performance curves,3,pessimum is the limit as the temperature increases (usually shows near death),,,,,,,,,,,,,,,,,,,,,,,,,
6,vector,tide,4,,2,1,9/6/2017,4,3,4,4,,,,,,,,,,,,,,,,,,
6,vector,force,5,tidal forces and corealis effects are like corealis effects - dependent also on normal vector/rotational forces,,,,,,,,,,,,,,,,,,,,,,,,,
7,ellipse,lunar orbit,6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ellipse,tide,4,,,,,,,,,,,,,,,,,,,,,,,,,,
8,proportional to,tide,4,tide and distance to sun,,,,,,,,,,,,,,,,,,,,,,,,,
4,max/min,sun tilt,5,solstice,,,,,,,,,,,,,,,,,,,,,,,,,
4,max/min,lunar orbit,6,apogee and perigee,,,,,,,,,,,,,,,,,,,,,,,,,
4,max/min,solar orbit,7,perihelion aphelion,,,,,,,,,,,,,,,,,,,,,,,,,
7,ellipse,lunar orbit,6,apogee and perigee,,,,,,,,,,,,,,,,,,,,,,,,,
7,ellipse,solar orbit,7,perihelion aphelion,,,,,,,,,,,,,,,,,,,,,,,,,
6,vector,current,8,,3,1,9/8/2017,12,9,11,11,,,,,,,,,,,,,,,,,,
8,scale,illustration,9,sketching transect profiles,,,,,,,,,,,,,,,,,,,,,,,,,
8,scale,transects,10,,,,,,,,,,,,,,,,,,,,,,,,,,
3,slope,transects,10,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3D,topography,11,"sketching transect profiles, reasoning through ocean depth/floor topography, z axis",,,,,,,,,,,,,,,,,,,,,,,,,
10,3D vizualization,climate,12,data visualization - hetmap,,,,,,,,,,,,,,,,,,,,,,,,,
11,law of cooling,weather,13,heat transfer of ocean heat to hurricane,,,,,,,,,,,,,,,,,,,,,,,,,
11,law of cooling,ocean,14,,,,,,,,,,,,,,,,,,,,,,,,,,
12,percentage,salinity,15,35 ppt on average in ocean with variation,,,,,,,,,,,,,,,,,,,,,,,,,
13,ratio,solutions,16,ppt (part per thousands),,,,,,,,,,,,,,,,,,,,,,,,,
14,rational fuction ,solution mixing,17,creating the right tank or solution salinity level (particularly when you add volume),,,,,,,,,,,,,,,,,,,,,,,,,
15,reflection,current,8,"also in the context of flow vectors, with reflections off of the continental shelf",,,,,,,,,,,,,,,,,,,,,,,,,
16,angles,current,8,,,,,,,,,,,,,,,,,,,,,,,,,,
16,angles,ocean,14,amount of heat from sun,,,,,,,,,,,,,,,,,,,,,,,,,
6,vector,wind,18,"tradewinds, etc.",,,,,,,,,,,,,,,,,,,,,,,,,
17,cycles,current,8,you can have current orbits in your flow chart. the unstable node in the middle of a cycle is called an oceanic desert,,,,,,,,,,,,,,,,,,,,,,,,,
18,abstraction,commonalities,19,trench assignment discussion on the next day,4,1,9/13/2017,7,4,6,4,,,,,,,,,,,,,,,,,,
8,scale,topography,11,drawing a transect assignment,,,,,,,,,,,,,,,,,,,,,,,,,
3,slope,topography,11,"shallow : continential shelf, abyssal plain steep: continental slope, continential rise",,,,,,,,,,,,,,,,,,,,,,,,,
4,max/min,trench,20,often absolute minimum in transect vs minima/maxima - many of which can be seen in a subterranean ridge,,,,,,,,,,,,,,,,,,,,,,,,,
19,relative frame,archipelago,21,"hotspot volcano static, but the plate shifted, so the result is an archipelago",,,,,,,,,,,,,,,,,,,,,,,,,
20,exponential decay,erosion,22,"in the context of new islands where there is erosion, likely proportional to surface area, but could be a particular %",,,,,,,,,,,,,,,,,,,,,,,,,
21,period,tide,4,diurnal and semidiurnal - mixed duiurnal would have multiple sine functions combined with different periods,,,,,,,,,,,,,,,,,,,,,,,,,
